gene,uniprot,role
AMER1,Q5JTC6,TSG
ATR,P20848,TSG
AXIN1,O15169,TSG
B2M,P61769,TSG
BAP1,Q96QZ7,TSG
BARD1,Q99728,TSG
BRIP1,Q9BX63,TSG
CBL,P22681,TSG
CDC73,Q6P1J9,TSG
CDH1,Q9UM11,TSG
CDKN2A,P42771,TSG
CEBPA,P49715,TSG
DAXX,Q9UER7,TSG
DNMT3A,Q9Y6K1,TSG
FBXW7,Q969H0,TSG
HNF1A,P20823,TSG
KDM6A,O15550,TSG
MEN1,O00255,TSG
MLH1,P40692,TSG
MSH2,P43246,TSG
MSH6,P52701,TSG
NF2,P35240,TSG
PIK3R1,P27986,TSG
PPP2R1A,P30153,TSG
PRDM1,O75626,TSG
PTCH1,Q13635,TSG
PTEN,P60484,TSG
RB1,P06400,TSG
RNF43,Q68DV7,TSG
SMAD2,Q15796,TSG
SMAD4,Q13485,TSG
SMARCB1,Q12824,TSG
SOCS1,O15524,TSG
SPOP,O43791,TSG
STAG2,Q8N3U4,TSG
STK11,Q15831,TSG
TNFAIP3,P21580,TSG
TP53,P04637,TSG
TSC1,Q92574,TSG
VHL,P40337,TSG
ABL1,P00519,oncogene
AKT1,P31749,oncogene
AKT2,P31751,oncogene
AR,P10275,oncogene
BCL2,P10415,oncogene
BCL6,P41182,oncogene
BRAF,P15056,oncogene
BRD4,O60885,oncogene
BTK,Q06187,oncogene
CALR,P27797,oncogene
CARD11,Q9BXL7,oncogene
CTNNB1,P35222,oncogene
EGFR,P00533,oncogene
ERBB2,P04626,oncogene
FGFR2,P21802,oncogene
FGFR3,P22607,oncogene
FLT3,P36888,oncogene
GNA11,P29992,oncogene
GNAQ,P50148,oncogene
GNAS,P84996,oncogene
HRAS,P01112,oncogene
IDH1,O75874,oncogene
IDH2,P48735,oncogene
JAK2,O60674,oncogene
JAK3,P52333,oncogene
KIT,P10721,oncogene
KRAS,P01116,oncogene
MAP2K1,Q02750,oncogene
MET,P08581,oncogene
MPL,P40238,oncogene
MYD88,Q99836,oncogene
NFE2L2,Q16236,oncogene
NRAS,P01111,oncogene
PDGFRA,P16234,oncogene
PIK3CA,P42336,oncogene
PTPN11,Q06124,oncogene
RET,P07949,oncogene
SF3B1,O75533,oncogene
SMO,Q9NWM0,oncogene
U2AF1,Q01081,oncogene
