column,representation,feature_id,mean_abs_shap,mean_signed_shap
9005,local_delta,9005,0.61501235,0.14559285
30129,window_absdelta,13745,0.301126,0.12311085
34854,global_absdelta,2086,0.29115936,0.1171947
43395,global_absdelta,10627,0.2772479,0.107687026
48499,global_absdelta,15731,0.23535393,0.10206161
42743,global_absdelta,9975,0.22301638,0.0922041
47839,global_absdelta,15071,0.20799553,0.081444405
44806,global_absdelta,12038,0.19926186,0.09993206
46615,global_absdelta,13847,0.17482404,0.064012155
19272,window_absdelta,2888,0.17006448,0.0761704
25389,window_absdelta,9005,0.14679016,0.0392213
21247,window_absdelta,4863,0.14522767,0.02856033
21284,window_absdelta,4900,0.14054912,-0.0056340056
31624,window_absdelta,15240,0.12386145,0.043283027
29334,window_absdelta,12950,0.11598081,0.051965073
34698,global_absdelta,1930,0.108167015,0.033986893
42684,global_absdelta,9916,0.107092015,0.023580441
37896,global_absdelta,5128,0.10485514,0.059188772
41899,global_absdelta,9131,0.09545535,0.031259865
36516,global_absdelta,3748,0.09214513,-0.0059741447
47257,global_absdelta,14489,0.09119729,0.03685247
35044,global_absdelta,2276,0.091173284,0.034988716
18984,window_absdelta,2600,0.08968971,0.0374009
45096,global_absdelta,12328,0.089213386,-0.0037118862
8502,local_delta,8502,0.088667974,0.041497067
44854,global_absdelta,12086,0.08594082,0.03354043
46665,global_absdelta,13897,0.084649675,-0.008086844
41975,global_absdelta,9207,0.08241479,0.026896283
35656,global_absdelta,2888,0.075853504,0.02543398
43829,global_absdelta,11061,0.074436106,0.012711455
14895,local_delta,14895,0.07101408,0.020201465
17747,window_absdelta,1363,0.07041646,0.008340324
44945,global_absdelta,12177,0.06731448,0.026507108
43914,global_absdelta,11146,0.067054465,0.004643681
36535,global_absdelta,3767,0.06689369,0.0100318855
25918,window_absdelta,9534,0.066242345,-0.0002649321
39120,global_absdelta,6352,0.064992964,0.023380267
38108,global_absdelta,5340,0.059901137,0.014327624
44894,global_absdelta,12126,0.059219174,-0.005289281
33127,global_absdelta,359,0.05873191,0.020579826
38973,global_absdelta,6205,0.056304146,0.013615244
37403,global_absdelta,4635,0.055950306,0.013891479
34440,global_absdelta,1672,0.054623436,0.0036903024
22279,window_absdelta,5895,0.051968787,0.018515507
45715,global_absdelta,12947,0.05094056,-0.0023266203
45292,global_absdelta,12524,0.05034424,0.020317968
41859,global_absdelta,9091,0.050186187,0.011039357
23152,window_absdelta,6768,0.04932229,0.011648974
